EnterQueueTimestamp_year,EnterQueueTimestamp_month,EnterQueueTimestamp_day,EnterQueueTimestamp_day_of_week,EnterQueueTimestamp_hour,EnterQueueTimestamp_minute,party_size,queue_62868,queue_69991,queue_66421,queue_75252,queue_5000000899,time_since_last_ticket,pushed_back_by_consumer,pushed_back_by_host,pushed_back_by_system,entering_host,result_arrived,result_no_show,result_removed,result_left,result_removed_by_system,time_to_redeem,time_to_confirm,pulled_status_updates,summoning_host
2018,1,1,1,9,38,1,0,1,0,0,0,-1,0,0,0,-1,0,0,0,1,0,-1,-1,0,-1
2018,1,1,1,9,39,1,0,1,0,0,0,238,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,9,40,1,0,1,0,0,0,53,0,0,0,-1,1,0,0,0,0,26,-1,0,4
2018,1,1,1,9,40,1,0,1,0,0,0,-1,0,0,0,-1,1,0,0,0,0,-1,-1,5,-1
2018,1,1,1,9,40,1,0,1,0,0,0,604,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,9,45,1,0,1,0,0,0,83,0,0,0,-1,1,0,0,0,0,22,-1,0,4
2018,1,1,1,9,45,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,30,-1,0,8
2018,1,1,1,9,47,1,0,1,0,0,0,66,0,0,0,-1,1,0,0,0,0,23,-1,7,5
2018,1,1,1,9,48,1,0,0,0,1,0,-1,0,0,0,5000001420,1,0,0,0,0,53,-1,0,14
2018,1,1,1,9,49,1,0,1,0,0,0,73,0,0,0,-1,0,1,0,0,0,-1,-1,0,5
2018,1,1,1,9,49,1,0,0,0,1,0,932,0,0,0,-1,1,0,0,0,0,8,-1,0,10
2018,1,1,1,9,50,1,0,1,0,0,0,125,10,0,0,-1,0,1,0,0,0,-1,-1,0,12
2018,1,1,1,9,50,1,0,1,0,0,0,28,0,0,0,-1,1,0,0,0,0,21,-1,1,5
2018,1,1,1,9,51,1,0,1,0,0,0,404,0,0,0,-1,1,0,0,0,0,2,-1,0,3
2018,1,1,1,9,52,1,0,1,0,0,0,40,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,9,52,1,0,1,0,0,0,24,0,0,0,-1,1,0,0,0,0,29,-1,0,4
2018,1,1,1,9,53,1,0,0,0,1,0,235,0,0,0,129426,1,0,0,0,0,75,-1,0,6
2018,1,1,1,9,53,1,0,0,0,1,0,1035,0,0,0,-1,1,0,0,0,0,41,-1,0,9
2018,1,1,1,9,54,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,3,-1,0,7
2018,1,1,1,9,56,1,0,1,0,0,0,129,0,0,0,-1,0,1,0,0,0,-1,-1,0,12
2018,1,1,1,9,57,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,4,-1,0,7
2018,1,1,1,9,57,1,0,1,0,0,0,13,0,0,0,-1,1,0,0,0,0,249,-1,0,12
2018,1,1,1,9,57,1,0,1,0,0,0,124,0,0,0,-1,1,0,0,0,0,13,-1,0,5
2018,1,1,1,9,58,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,38,-1,0,8
2018,1,1,1,10,1,1,0,0,0,1,0,13,0,0,0,-1,1,0,0,0,0,143,-1,0,13
2018,1,1,1,10,2,1,0,1,0,0,0,143,0,0,0,-1,1,0,0,0,0,188,-1,5,12
2018,1,1,1,10,4,1,0,1,0,0,0,144,0,0,0,-1,1,0,0,0,0,3,-1,1,3
2018,1,1,1,10,5,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,10,-1,0,7
2018,1,1,1,10,5,1,0,0,1,0,0,-1,0,0,0,-1,0,1,0,0,0,-1,-1,0,8
2018,1,1,1,10,5,1,0,1,0,0,0,4,0,0,0,-1,1,0,0,0,0,40,-1,0,15
2018,1,1,1,10,5,1,0,1,0,0,0,38,0,0,0,-1,1,0,0,0,0,15,-1,0,12
2018,1,1,1,10,7,1,0,1,0,0,0,4,0,0,0,-1,1,0,0,0,0,36,-1,0,4
2018,1,1,1,10,8,1,0,1,0,0,0,5,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,9,1,0,1,0,0,0,31,0,0,0,-1,1,0,0,0,0,35,-1,0,4
2018,1,1,1,10,10,1,0,1,0,0,0,183,0,0,0,-1,1,0,0,0,0,4,-1,6,3
2018,1,1,1,10,10,1,0,0,0,1,0,169,0,0,0,-1,1,0,0,0,0,10,-1,21,10
2018,1,1,1,10,12,1,0,1,0,0,0,1,20,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,12,1,0,1,0,0,0,16,70,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,12,1,0,1,0,0,0,24,0,0,0,-1,1,0,0,0,0,26,-1,0,15
2018,1,1,1,10,12,1,0,1,0,0,0,66,0,0,0,-1,0,1,0,0,0,-1,-1,13,2
2018,1,1,1,10,13,1,0,0,0,1,0,11,0,0,0,-1,1,0,0,0,0,335,-1,0,6
2018,1,1,1,10,13,1,0,1,0,0,0,77,0,0,0,-1,0,1,0,0,0,-1,-1,0,15
2018,1,1,1,10,13,1,0,1,0,0,0,15,40,0,0,-1,0,0,0,1,0,-1,-1,9,2
2018,1,1,1,10,14,1,0,1,0,0,0,171,0,0,0,-1,1,0,0,0,0,15,-1,0,15
2018,1,1,1,10,16,1,0,0,1,0,0,-1,0,0,0,-1,0,1,0,0,0,-1,-1,0,7
2018,1,1,1,10,16,1,0,0,1,0,0,-1,0,0,0,-1,0,1,0,0,0,-1,-1,0,11
2018,1,1,1,10,17,1,0,1,0,0,0,113,0,0,0,-1,1,0,0,0,0,27,-1,0,15
2018,1,1,1,10,18,1,0,0,1,0,0,-1,0,0,0,-1,0,0,1,0,0,-1,-1,0,-1
2018,1,1,1,10,19,1,0,0,1,0,0,-1,0,0,0,-1,0,0,1,0,0,-1,-1,0,-1
2018,1,1,1,10,19,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,1,-1,0,7
2018,1,1,1,10,20,1,0,0,1,0,0,-1,0,0,0,-1,0,1,0,0,0,-1,-1,0,11
2018,1,1,1,10,22,1,0,1,0,0,0,184,0,0,0,-1,1,0,0,0,0,35,-1,0,4
2018,1,1,1,10,22,1,0,1,0,0,0,76,20,0,0,-1,1,0,0,0,0,242,-1,5,2
2018,1,1,1,10,22,1,0,0,1,0,0,-1,0,0,0,-1,1,0,0,0,0,51,-1,0,8
2018,1,1,1,10,22,1,0,0,0,1,0,-1,0,0,0,-1,1,0,0,0,0,46,-1,0,6
2018,1,1,1,10,22,1,0,1,0,0,0,189,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,23,1,0,1,0,0,0,49,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,23,1,0,1,0,0,0,18,0,0,0,-1,1,0,0,0,0,32,-1,0,4
2018,1,1,1,10,24,1,0,1,0,0,0,9,0,0,0,-1,0,1,0,0,0,-1,-1,0,3
2018,1,1,1,10,24,1,0,1,0,0,0,46,0,0,0,-1,0,1,0,0,0,-1,-1,0,3
2018,1,1,1,10,25,1,0,1,0,0,0,28,0,0,0,-1,0,1,0,0,0,-1,-1,0,3
2018,1,1,1,10,25,1,0,1,0,0,0,30,0,0,0,-1,1,0,0,0,0,11,-1,0,3
2018,1,1,1,10,28,1,0,1,0,0,0,57,0,0,0,-1,1,0,0,0,0,11,-1,3,3
2018,1,1,1,10,28,1,0,1,0,0,0,135,0,0,0,-1,0,1,0,0,0,-1,-1,0,2
2018,1,1,1,10,28,1,0,1,0,0,0,14,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,30,1,0,1,0,0,0,11,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,31,1,0,1,0,0,0,17,0,0,0,-1,0,1,0,0,0,-1,-1,0,2
2018,1,1,1,10,31,1,0,1,0,0,0,34,10,0,0,-1,0,1,0,0,0,-1,-1,8,4
2018,1,1,1,10,31,1,0,1,0,0,0,6,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,31,1,0,1,0,0,0,8,0,0,0,-1,0,1,0,0,0,-1,-1,0,2
2018,1,1,1,10,32,1,0,1,0,0,0,12,0,0,0,-1,1,0,0,0,0,36,-1,0,2
2018,1,1,1,10,32,1,0,0,0,1,0,-1,0,0,0,-1,1,0,0,0,0,171,-1,0,16
2018,1,1,1,10,33,1,0,1,0,0,0,17,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,33,1,0,1,0,0,0,21,0,0,0,-1,1,0,0,0,0,27,-1,0,4
2018,1,1,1,10,34,1,0,1,0,0,0,12,0,0,0,-1,0,1,0,0,0,-1,-1,0,4
2018,1,1,1,10,35,1,0,1,0,0,0,168,0,0,0,-1,1,0,0,0,0,6,-1,0,3
